Term contributions per codebase,,,,,Vocabularly size,,,
Codebase,# Design,# Context,# Neither,,Codebase,# Design,# Context,# Neither
description,0,37,0,,description,0,37,0
1000,42,4,12,,1000,42,41,12
1001,15,3,3,,1001,57,44,15
1002,12,0,5,,1002,69,44,20
1003,20,1,10,,1003,89,45,30
1004,9,0,9,,1004,98,45,39
1005,8,1,16,,1005,106,46,55
1006,5,0,3,,1006,111,46,58
1007,2,2,5,,1007,113,48,63
1008,3,1,5,,1008,116,49,68
1009,0,0,3,,1009,116,49,71
1010,4,0,5,,1010,120,49,76
1011,7,0,11,,1011,127,49,87
1012,7,1,10,,1012,134,50,97
1013,1,0,5,,1013,135,50,102
1014,0,0,6,,1014,135,50,108
1015,3,1,3,,1015,138,51,111
1016,8,0,3,,1016,146,51,114
1017,5,0,3,,1017,151,51,117
1018,0,0,1,,1018,151,51,118
1019,2,0,3,,1019,153,51,121
